head_coach,shots,pim,hits
D.J. Smith,26.0,10.0,44.0
Todd Reirden,34.0,4.0,25.0
Travis Green,33.0,4.0,21.0
Peter DeBoer,22.0,8.0,40.0
Joel Quenneville,37.0,6.0,14.0
Paul Maurice,47.0,4.0,31.0
Ralph Krueger,41.0,10.0,35.0
Claude Julien,36.0,6.0,31.0
Bruce Boudreau,24.0,4.0,19.0
Bruce Cassidy,20.0,4.0,12.0
Bill Peters,30.0,29.0,20.0
Rick Tocchet,33.0,2.0,15.0
Jeremy Colliton,31.0,6.0,29.0
Paul Maurice,30.0,4.0,13.0
Todd Reirden,28.0,2.0,21.0
Mike Babcock,29.0,12.0,18.0
Gerard Gallant,29.0,40.0,26.0
John Hynes,20.0,20.0,11.0
Claude Julien,42.0,10.0,26.0
David Quinn,30.0,10.0,22.0
Jon Cooper,35.0,8.0,24.0
John Tortorella,30.0,13.0,49.0
Rod Brind'Amour,28.0,14.0,19.0
Jim Montgomery,29.0,4.0,22.0
Jeff Blashill,28.0,4.0,13.0
Bruce Cassidy,26.0,8.0,25.0
Bruce Boudreau,31.0,12.0,31.0
Peter DeBoer,36.0,9.0,17.0
Travis Green,34.0,10.0,7.0
Todd McLellan,32.0,12.0,33.0
Jon Cooper,13.0,10.0,19.0
Jim Montgomery,22.0,16.0,14.0
Paul Maurice,36.0,2.0,25.0
Craig Berube,30.0,6.0,26.0
Ralph Krueger,18.0,6.0,13.0
Rod Brind'Amour,35.0,16.0,16.0
Dave Tippett,27.0,4.0,12.0
Paul Maurice,22.0,4.0,39.0
Jim Montgomery,26.0,10.0,18.0
Dallas Eakins,29.0,4.0,23.0
Peter DeBoer,35.0,15.0,9.0
Todd McLellan,40.0,9.0,21.0
Bruce Cassidy,35.0,6.0,24.0
Claude Julien,27.0,10.0,16.0
John Hynes,25.0,8.0,24.0
Todd McLellan,39.0,4.0,15.0
Jon Cooper,33.0,4.0,25.0
Jeff Blashill,34.0,6.0,24.0
Dave Tippett,22.0,4.0,26.0
Dallas Eakins,32.0,17.0,41.0
Craig Berube,37.0,0.0,32.0
Todd Reirden,26.0,8.0,12.0
Bruce Boudreau,40.0,6.0,25.0
Peter DeBoer,34.0,4.0,29.0
Bill Peters,29.0,10.0,20.0
Bruce Cassidy,41.0,4.0,19.0
Gerard Gallant,38.0,4.0,21.0
Joel Quenneville,43.0,8.0,13.0
Dallas Eakins,23.0,6.0,28.0
Barry Trotz,19.0,6.0,20.0
Dave Tippett,27.0,8.0,18.0
Jon Cooper,21.0,18.0,19.0
Peter Laviolette,32.0,4.0,18.0
Paul Maurice,33.0,4.0,29.0
John Hynes,31.0,6.0,11.0
Craig Berube,29.0,8.0,26.0
Mike Babcock,41.0,2.0,14.0
Joel Quenneville,37.0,7.0,28.0
John Tortorella,35.0,6.0,26.0
Todd Reirden,25.0,12.0,18.0
Mike Sullivan,35.0,8.0,14.0
Rick Tocchet,36.0,8.0,16.0
