,game_id,season,type,date_time_GMT,home_team,away_team,outcome,away_goals,home_goals
21160,2019020001,20192020,R,2019-10-02T23:00:00Z,Maple Leafs,Senators,home win REG,3,5
21161,2019020002,20192020,R,2019-10-03T00:00:00Z,Blues,Capitals,away win OT,3,2
21162,2019020003,20192020,R,2019-10-03T02:00:00Z,Oilers,Canucks,home win REG,2,3
21163,2019020004,20192020,R,2019-10-03T02:30:00Z,Golden Knights,Sharks,home win REG,1,4
21168,2019020005,20192020,R,2019-10-03T23:00:00Z,Lightning,Panthers,home win REG,2,5
21169,2019020006,20192020,R,2019-10-03T23:00:00Z,Rangers,Jets,home win REG,4,6
21170,2019020007,20192020,R,2019-10-03T23:00:00Z,Penguins,Sabres,away win REG,3,1
21171,2019020008,20192020,R,2019-10-03T23:00:00Z,Hurricanes,Canadiens,home win OT,3,4
21172,2019020009,20192020,R,2019-10-04T00:00:00Z,Predators,Wild,home win REG,2,5
21173,2019020010,20192020,R,2019-10-04T00:30:00Z,Stars,Bruins,away win REG,2,1
21174,2019020011,20192020,R,2019-10-04T01:00:00Z,Avalanche,Flames,home win REG,3,5
21175,2019020012,20192020,R,2019-10-04T02:00:00Z,Ducks,Coyotes,home win REG,1,2
21184,2019020016,20192020,R,2019-10-04T18:00:00Z,Flyers,Blackhawks,home win REG,3,4
21185,2019020013,20192020,R,2019-10-04T23:00:00Z,Devils,Jets,away win OT,5,4
21186,2019020014,20192020,R,2019-10-04T23:00:00Z,Islanders,Capitals,away win REG,2,1
21187,2019020015,20192020,R,2019-10-04T23:00:00Z,Blue Jackets,Maple Leafs,away win REG,4,1
21188,2019020017,20192020,R,2019-10-05T02:30:00Z,Sharks,Golden Knights,away win REG,5,1
21194,2019020018,20192020,R,2019-10-05T23:00:00Z,Sabres,Devils,home win REG,2,7
21195,2019020019,20192020,R,2019-10-05T23:00:00Z,Maple Leafs,Canadiens,away win OT,6,5
21196,2019020020,20192020,R,2019-10-05T23:00:00Z,Senators,Rangers,away win REG,4,1
21197,2019020021,20192020,R,2019-10-05T23:00:00Z,Panthers,Lightning,home win REG,3,4
21198,2019020022,20192020,R,2019-10-05T23:00:00Z,Penguins,Blue Jackets,home win REG,2,7
21199,2019020023,20192020,R,2019-10-05T23:00:00Z,Capitals,Hurricanes,away win OT,3,2
21200,2019020024,20192020,R,2019-10-06T00:00:00Z,Blues,Stars,home win REG,2,3
21201,2019020025,20192020,R,2019-10-06T00:00:00Z,Predators,Red Wings,away win REG,5,3
